Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
IDIGOV REAL ESTATE L.L.C,10/10/2023,10/10/2024,Sell,79553,888994
RFZ REAL ESTATE L.L.C,03/06/2023,03/06/2024,Sell,72358,1171482
