Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
DIAMOND CITY REAL ESTATE BROKER,23/04/2024,22/05/2024,Sell,93657,596066
AW LIVING REAL ESTATE L.L.C,11/03/2024,10/03/2025,Sell,90371,1261674
