Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
METROPOLITAN PREMIUM PROPERTIES L.L.C,12/07/2023,12/07/2024,Sell,74445,679325
LUXURY HUB PROPERTIES L.L.C,04/03/2024,04/03/2025,Sell,89677,1132911
TRANO REAL ESTATE L.L.C,02/06/2023,01/06/2024,Sell,72286,1117746
