Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
CAPITAL ZONE PROPERTIES,21/02/2024,20/05/2024,Rent,2024,2024
INVESTMENT L.L.C),07/07/2023,07/07/2024,Rent,74177,736292
