Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
TIMELESS PROPERTIES L.L.C,29/05/2023,28/05/2024,Sell,71882,835176
IDIGOV REAL ESTATE L.L.C,10/10/2023,10/10/2024,Sell,79553,888994
ZENITH HOMES REAL ESTATE,07/03/2024,03/03/2025,Sell,90056,828163
