Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
BETTER HOMES (L.L.C),20/07/2023,20/07/2024,Sell,74699,223306
AMBER HOMES REAL ESTATE,20/05/2023,19/05/2024,Sell,71189,778204
