Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
F A M REAL ESTATE BROKER L.L.C (BRANCH),18/12/2023,17/12/2024,Sell,83726,718828
ELYSIAN REAL ESTATE BROKER L.L.C,09/12/2023,08/12/2024,Rent,83148,583535
ELYSIAN REAL ESTATE BROKER L.L.C,09/12/2023,08/12/2024,Sell,83148,583535
ELYSIAN REAL ESTATE BROKER L.L.C,09/12/2023,08/12/2024,Sell,83148,583535
UNIQUE PROPERTIES BROKER (BRANCH),10/08/2023,08/08/2024,Sell,75972,708724
