Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
TURNKEY PROPERTIES,03/12/2023,03/12/2024,Sell,82564,795724
TURNKEY PROPERTIES,03/12/2023,03/12/2024,Sell,82564,795724
