Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
52 ABOVE REAL ESTATE L.L.C,01/02/2024,31/01/2025,Rent,86946,715883
52 ABOVE REAL ESTATE L.L.C,01/02/2024,31/01/2025,Rent,86946,715883
L.L.C,27/11/2023,27/11/2024,Sell,82326,613873
