Trade_Name,Start_Date,End_Date,Purpose,Transaction,License
MCCONE PROPERTIES,02/02/2024,31/08/2024,Sell,87025,684748
MCCONE PROPERTIES,30/01/2024,30/01/2025,Sell,86661,684748
BETTER HOMES (L.L.C),20/07/2023,20/07/2024,Sell,74699,223306
